,Address,Google_ID,Latitude,Longitude,Name,Price_Level,Rating,Zip,City_State_Cuisine
0,"1246 E 14th St, Des Moines, IA 50316, USA",366f22d0cb361b0d7835c86295cbec1145120757,41.6015786,-93.6008752,Cheng's Garden,0.0,2.8,50316,des moines-ia-chinese
1,"100 E Euclid Ave, Des Moines, IA 50313, USA",2e6fa1f648fe6f8feb4d05aaec504be5b13e4a8b,41.62913500000001,-93.618697,W China Buffet,2.0,3.6,50313,des moines-ia-chinese
2,"1201 E Army Post Rd, Des Moines, IA 50315, USA",315f83ea80339a1a24a270ee847dee37cad7c614,41.5258511,-93.5998775,New China Buffet & Grill,0.0,3.8,50315,des moines-ia-chinese
3,"3708 Merle Hay Rd, Des Moines, IA 50310, USA",f1135e0b46a875f61de7db7ac89df51e24d6017c,41.62873889999999,-93.6982097,Cheng's Garden,0.0,3.1,50310,des moines-ia-chinese
4,"555 Walnut St, Des Moines, IA 50309, USA",bbd3cb61f9b015ec27f572ddf1125b2cfed20742,41.5864848,-93.6238936,Panda Chinese Food,0.0,4.0,50309,des moines-ia-chinese
5,"700 Locust St # 13, Des Moines, IA 50309, USA",6c59a8f7df7c98a8d5e6e1fc2985b38c1a12422e,41.58615,-93.6266799,Panda Chinese Food,0.0,5.0,50309,des moines-ia-chinese
6,"223 4th St, Des Moines, IA 50309, USA",56aaccae7b1310a3128d6cc957387f1ec351d93f,41.5858979,-93.6217958,Fong's Pizza,1.0,4.5,50309,des moines-ia-chinese
7,"1534 E Grand Ave E, Des Moines, IA 50316, USA",473997e329d7a2226a8d6ab823dad1e6a9ae55c7,41.5944676,-93.5935892,Rolling Wok Cafe,0.0,4.3,50316,des moines-ia-chinese
8,"4120 University Ave, Des Moines, IA 50311, USA",75446250ee4f8dec6f848c6fd34fb47fe237b0ae,41.59967100000001,-93.673796,Hong Kong Chinese Restaurant,2.0,3.5,50311,des moines-ia-chinese
9,"2916 E University Ave, Des Moines, IA 50317, USA",3c05ede321261d97b161239091033b7428b138cb,41.600986999999996,-93.5600791,China House,2.0,3.7,50317,des moines-ia-chinese
10,"3300 SW 9th St #4, Des Moines, IA 50315, USA",ea99577609d80762e5af4159f1e2f0baa6949fb0,41.5544589,-93.62657320000001,Sam's Fine Food & Egg Rolls,0.0,4.7,50315,des moines-ia-chinese
11,"E Euclid Ave, Des Moines, IA 50317, USA",5a171978641ed887fb951773916038dcb2a4aab2,41.628726,-93.571402,Dragon House East,0.0,3.4,50317,des moines-ia-chinese
12,"2231 E University Ave, Des Moines, IA 50317, USA",7f81e04de677885e0592494dd8cab5a511e34654,41.600066999999996,-93.57537,Tsing Tsao Chinese Fast Food,1.0,4.4,50317,des moines-ia-chinese
13,"4230 Fleur Dr, Des Moines, IA 50321, USA",0c3fbbb85b87ad9d521331d72e281aa2e849b7e7,41.5447482,-93.6464221,Tsing Tsao South,0.0,4.4,50321,des moines-ia-chinese
14,"1521 2nd Ave, Des Moines, IA 50314, USA",799bb957513e91e17f59d2732f0c67b1ac92353b,41.606566799999996,-93.61926120000001,Pho 888,0.0,4.2,50314,des moines-ia-chinese
15,"2607 Beaver Ave, Des Moines, IA 50310, USA",33b6748f5b19f19abc1e150eb7d9f0bb7a2b7811,41.6183303,-93.67281440000001,Rice Bowl Restaurant,0.0,4.1,50310,des moines-ia-chinese
16,"5418 Douglas Ave, Des Moines, IA 50310, USA",2533bae62f0e6aae1ac5c360044cdca1a5f88475,41.629221,-93.693262,Wasabi Chi,0.0,4.7,50310,des moines-ia-chinese
17,"5717 Hickman Rd, Des Moines, IA 50310, USA",38fbff5e008fc46a7e1c5c16f5b101eef22411a3,41.61533,-93.6968813,Shang Yuen,0.0,4.3,50310,des moines-ia-chinese
18,"5002 Ep True Pkwy, West Des Moines, IA 50265, USA",07c0428b46e1562ebc7cd5e1155a7771b4ae7f62,41.571049,-93.772213,China Jade,2.0,3.8,50265,des moines-ia-chinese
19,"5923 Ashworth Rd, West Des Moines, IA 50266, USA",87ed8f3c179d28b3c0ccb72eec3d53b578152b4b,41.585074,-93.789182,Canton Chinese Cuisine,1.0,4.2,50266,des moines-ia-chinese
20,"Suite 3108, 6630 Mills Civic Pkwy, West Des Moines, IA 50266, United States",618b1eaa902bf1c4dd1fbeb0c1c91e414fcff955,41.5599206,-93.7990326,Iron Wok,2.0,4.4,50266,des moines-ia-chinese
21,"5010 SW 9th St, Des Moines, IA 50315, USA",c2c75adfad114c07e02a6117ef9238a3a9d45367,41.5385109,-93.626102,China Chef,0.0,4.2,50315,des moines-ia-chinese
22,"4212 Douglas Ave, Des Moines, IA 50310, USA",1aada8e855cd03288c3bb3423766dd1fabd6905e,41.62912,-93.676252,Taste of China,2.0,3.6,50310,des moines-ia-chinese
23,"4804 SW 9th St, Des Moines, IA 50315, USA",c8094188f8158d1759e72e26b0c19b4ac40e7531,41.540518,-93.626389,China One Buffet,2.0,3.7,50315,des moines-ia-chinese
24,"4349 Merle Hay Rd, Des Moines, IA 50310, USA",add162ade2064d049de189486ac2e7549b7548ab,41.63923519999999,-93.6955605,Bamboo Buffet & Grill,0.0,3.9,50310,des moines-ia-chinese
25,"110 S Jordan Creek Pkwy, West Des Moines, IA 50266, USA",0d14fee716b5aa2a900229424f3a581f7dc442cb,41.56787360000001,-93.8048726,P.F. Chang's,2.0,3.7,50266,des moines-ia-chinese
26,"225 5th St, West Des Moines, IA 50265, USA",7c05042c7db0f09b9bad96512ce9f748e2054382,41.57206679999999,-93.70855350000001,Heavenly Asian Cuisine & Lounge,0.0,4.1,50265,des moines-ia-chinese
27,"1511 High St, Des Moines, IA 50309, USA",730cc006a7d31f9d266ecd45882e2e00604bbc57,41.587385999999995,-93.6374135,A Dong Restaurant,2.0,4.6,50309,des moines-ia-chinese
28,"1580 Valley W Dr, West Des Moines, IA 50266, USA",7240a7717804be6a00ba37a9eb1747a735db51c9,41.5968283,-93.75260250000001,Panda Express,1.0,3.7,50266,des moines-ia-chinese
29,"1107 E University Ave, Des Moines, IA 50316, USA",28dc64b12234907b875d6ff8e54710a76e9cf190,41.600031099999995,-93.6055949,Fawn's Asian Cuisine,0.0,4.5,50316,des moines-ia-chinese
30,"1801 22nd St, West Des Moines, IA 50266, USA",8519d5e41ff71b1fd5636f1bf1c2ff659012c2e3,41.599334000000006,-93.734679,Hibachi Grill & Supreme Buffet,0.0,4.0,50266,des moines-ia-chinese
