,AverageIncome,City,Density,Population,State,Zip,ZipLatitude,ZipLongitude,City_State
0,35962.1030551089,austin,4196.932515337424,6841,tx,78701,30.2729209,-97.74438630000002,austin-tx
1,11402.660166869786,austin,4266.8,21334,tx,78702,30.260353499999997,-97.7145152,austin-tx
2,36330.241391569325,austin,3528.673835125448,19690,tx,78703,30.2915328,-97.7688358,austin-tx
3,19962.531709286035,austin,4841.034482758621,42117,tx,78704,30.24567279999999,-97.7688358,austin-tx
4,4696.842820676452,austin,14245.454545454544,31340,tx,78705,30.2961708,-97.7389543,austin-tx
5,,austin,2687.5,860,tx,78712,30.283515100000002,-97.7348805,austin-tx
6,31913.680317685685,austin,1751.2043512043513,22538,tx,78717,30.491657699999998,-97.7742702,austin-tx
7,9581.256802721091,austin,94.58445040214478,1764,tx,78719,30.159025300000003,-97.681943,austin-tx
8,8817.162888402625,austin,3079.514824797844,11425,tx,78721,30.273736600000003,-97.681943,austin-tx
9,18694.286731062533,austin,3907.947019867549,5901,tx,78722,30.2920434,-97.71180030000001,austin-tx
10,12591.791069537592,austin,4082.1325648414977,28330,tx,78723,30.308130699999996,-97.681943,austin-tx
11,8034.510186209441,austin,889.1803278688525,21696,tx,78724,30.294426899999998,-97.62226650000001,austin-tx
12,13296.191352950847,austin,346.21513944223113,6083,tx,78725,30.2316673,-97.6168439,austin-tx
13,28917.638088705986,austin,1207.1757129714813,13122,tx,78726,30.419061600000003,-97.8395151,austin-tx
14,25689.91074974709,austin,3110.606060606061,26689,tx,78727,30.432242,-97.7145152,austin-tx
15,19005.422040494606,austin,2502.959309494452,20299,tx,78728,30.4570672,-97.681943,austin-tx
16,22220.952301903497,austin,2936.9447453954494,27108,tx,78729,30.4646593,-97.7471025,austin-tx
17,53828.17536140792,austin,552.8144544822793,7955,tx,78730,30.373251399999997,-97.8395151,austin-tx
18,33912.567685057285,austin,2865.4249126891737,24614,tx,78731,30.354240899999997,-97.7742702,austin-tx
19,37628.6560455192,austin,1061.132075471698,14060,tx,78732,30.3788578,-97.89237490000001,austin-tx
20,40205.65795480484,austin,764.5724258289702,8762,tx,78733,30.33151879999999,-97.8667182,austin-tx
21,34214.23749645993,austin,880.988023952096,17655,tx,78734,30.366666499999997,-97.94838979999999,austin-tx
22,39056.82921083628,austin,784.963503649635,16131,tx,78735,30.2573497,-97.8612767,austin-tx
23,26024.645119493238,austin,239.59986202138668,6946,tx,78736,30.25208559999999,-97.94838979999999,austin-tx
24,31072.512871451036,austin,316.3393558523174,12081,tx,78737,30.18196499999999,-97.9701846,austin-tx
25,42024.51433987144,austin,714.6054181389869,12134,tx,78738,30.2966026,-97.9701846,austin-tx
26,33677.640364459265,austin,1469.1163604549429,16792,tx,78739,30.185925800000003,-97.90482,austin-tx
27,8121.070857905865,austin,5912.5,44935,tx,78741,30.2259488,-97.7145152,austin-tx
28,7336.476829268294,austin,142.85714285714286,820,tx,78742,30.240605699999996,-97.6602365,austin-tx
29,10084.230429705744,austin,2000.9345794392527,42820,tx,78744,30.196310999999998,-97.730807,austin-tx
30,15985.521145754668,austin,4165.842696629214,55614,tx,78745,30.215386900000002,-97.7960118,austin-tx
31,53746.46550059418,austin,1197.332147621165,26928,tx,78746,30.296220799999997,-97.8299383,austin-tx
32,16714.595083738517,austin,622.7081581160638,14808,tx,78747,30.26,-97.74,austin-tx
33,20259.50387444343,austin,3208.4451460142072,40651,tx,78748,30.168207000000002,-97.81776009999999,austin-tx
34,26557.01468837992,austin,3420.953326713009,34449,tx,78749,30.217545299999998,-97.85583570000001,austin-tx
35,28217.772581487287,austin,2001.044776119403,26814,tx,78750,30.427069899999996,-97.80144820000001,austin-tx
36,17010.696976016683,austin,5993.75,14385,tx,78751,30.3055711,-97.725376,austin-tx
37,9863.015445084146,austin,5408.383233532934,18064,tx,78752,30.3317278,-97.705158,austin-tx
38,11084.087787265978,austin,4494.165907019143,49301,tx,78753,30.3889868,-97.67108890000002,austin-tx
39,17527.10780792764,austin,1134.7924528301887,15036,tx,78754,30.3558863,-97.6493858,austin-tx
40,27751.40075062552,austin,4307.784431137725,7194,tx,78756,30.3248256,-97.7389543,austin-tx
41,20908.199718442047,austin,4331.30081300813,21310,tx,78757,30.3568213,-97.730807,austin-tx
42,13389.352854420042,austin,4749.137931034483,44072,tx,78758,30.3870686,-97.7036561,austin-tx
43,29661.734488699185,austin,2793.89367816092,38891,tx,78759,30.401356,-97.75253520000001,austin-tx
44,17020.6050451114,des moines,1912.323943661972,5431,ia,50309,41.5816456,-93.6243133,des moines-ia
45,18876.9104265246,des moines,3754.161490683229,30221,ia,50310,41.632449,-93.67246490000001,des moines-ia
46,17047.179315820817,des moines,6021.1155378486055,15113,ia,50311,41.5999808,-93.6750005,des moines-ia
47,27622.37740400287,des moines,2700.528169014085,15339,ia,50312,41.5774667,-93.6775362,des moines-ia
48,13905.899919429097,des moines,962.6592797783933,17376,ia,50313,41.654292600000005,-93.6116494,des moines-ia
49,7813.776734857603,des moines,5006.024096385542,12465,ia,50314,41.608982,-93.6268464,des moines-ia
50,14561.763757565615,des moines,3578.1437125748503,35853,ia,50315,41.534655799999996,-93.6116494,des moines-ia
51,10590.834367396594,des moines,4617.9775280898875,16440,ia,50316,41.6099344,-93.596457,des moines-ia
52,14329.2160631922,des moines,1580.4015713662154,36207,ia,50317,41.616330100000006,-93.5509074,des moines-ia
53,,des moines,0.0,0,ia,50319,41.5910453,-93.60278659999999,des moines-ia
54,16370.550506815798,des moines,1073.2583065380493,20027,ia,50320,41.5359175,-93.5711466,des moines-ia
55,21161.460234514398,des moines,663.7901861252114,7846,ia,50321,41.532734399999995,-93.67246490000001,des moines-ia
100,9405.727702121085,san antonio,6408.345120226309,45307,tx,78201,29.46357,-98.52267059999998,san antonio-tx
101,6885.148062612266,san antonio,5039.2241379310335,11691,tx,78202,29.4301674,-98.45955570000001,san antonio-tx
102,6876.54664699131,san antonio,4727.906976744186,6099,tx,78203,29.4135826,-98.4485846,san antonio-tx
103,10826.372853932584,san antonio,4230.038022813687,11125,tx,78204,29.404323600000005,-98.5034561,san antonio-tx
104,22941.911906400554,san antonio,1221.0084033613446,1453,tx,78205,29.422658000000002,-98.4869905,san antonio-tx
105,5912.548077962316,san antonio,7646.5564738292005,55514,tx,78207,29.417494899999998,-98.52267059999998,san antonio-tx
106,7707.29068522484,san antonio,3812.244897959184,3736,tx,78208,29.437455,-98.4581842,san antonio-tx
107,28522.495420567906,san antonio,3846.614327772326,39197,tx,78209,29.4854054,-98.4513272,san antonio-tx
108,9220.605398074054,san antonio,4954.9731182795695,36865,tx,78210,29.397957799999997,-98.46778509999999,san antonio-tx
109,7923.995429501629,san antonio,3107.3929961089502,31944,tx,78211,29.345535100000003,-98.5666077,san antonio-tx
110,16510.239662150274,san antonio,4203.4023668639065,28415,tx,78212,29.459569899999995,-98.4952228,san antonio-tx
111,12511.565823348848,san antonio,5049.5,40396,tx,78213,29.498116800000002,-98.52267059999998,san antonio-tx
112,8523.420033417591,san antonio,1740.566741237882,23341,tx,78214,29.3172731,-98.46778509999999,san antonio-tx
113,15506.842608695652,san antonio,1026.7857142857142,1150,tx,78215,29.4418162,-98.4801308,san antonio-tx
114,16026.410981697172,san antonio,2817.844646606018,40267,tx,78216,29.551683399999998,-98.4952228,san antonio-tx
115,13805.817223690348,san antonio,3066.2535748331743,32165,tx,78217,29.53896599999999,-98.4239055,san antonio-tx
116,10648.73365291224,san antonio,2700.253807106599,31917,tx,78218,29.4895776,-98.385532,san antonio-tx
117,9758.270082101806,san antonio,1109.6938775510203,15225,tx,78219,29.4489141,-98.3910127,san antonio-tx
118,9282.934419041654,san antonio,1720.3663793103449,15965,tx,78220,29.414347600000003,-98.3910127,san antonio-tx
119,9272.903556543484,san antonio,1183.10322156476,35990,tx,78221,29.2982317,-98.4952228,san antonio-tx
120,11158.095939818633,san antonio,886.6148926450434,19408,tx,78222,29.374355199999997,-98.385532,san antonio-tx
121,10421.234453067917,san antonio,1222.820574740401,50637,tx,78223,29.3037971,-98.4074573,san antonio-tx
122,10275.18459178456,san antonio,795.7052441229657,17601,tx,78224,29.318482399999997,-98.539144,san antonio-tx
123,9450.575969289825,san antonio,6645.408163265306,13025,tx,78225,29.385634000000003,-98.52541590000001,san antonio-tx
124,7717.115222623344,san antonio,931.0924369747901,6648,tx,78226,29.391629100000003,-98.5666077,san antonio-tx
125,9217.523297957769,san antonio,3338.9130434782605,46077,tx,78227,29.41040379999999,-98.6325611,san antonio-tx
126,9527.003825814898,san antonio,5380.695333943276,58811,tx,78228,29.455339000000002,-98.5611142,san antonio-tx
127,12332.781002638523,san antonio,5018.118466898954,28804,tx,78229,29.5060908,-98.577596,san antonio-tx
128,23295.9283430121,san antonio,3769.431051108968,39089,tx,78230,29.542044,-98.555621,san antonio-tx
129,29445.9464963319,san antonio,2042.8940568475448,7906,tx,78231,29.580333000000003,-98.54188990000002,san antonio-tx
130,23723.053815489748,san antonio,2921.7970049916808,35120,tx,78232,29.59442259999999,-98.45681280000001,san antonio-tx
131,14466.407458247542,san antonio,3329.017517136329,43710,tx,78233,29.560052000000002,-98.3636131,san antonio-tx
132,9701.925484142575,san antonio,1566.1538461538462,7126,tx,78234,29.4542542,-98.4430997,san antonio-tx
133,,san antonio,340.0,357,tx,78235,29.345127500000004,-98.4376151,san antonio-tx
134,7593.747921687564,san antonio,5010.719131614654,36929,tx,78237,29.41467059999999,-98.5666077,san antonio-tx
135,11841.839414816704,san antonio,2446.826222684704,23514,tx,78238,29.468701300000003,-98.62156490000001,san antonio-tx
136,11865.144835746103,san antonio,4327.710843373494,28736,tx,78239,29.520097800000002,-98.3581344,san antonio-tx
137,16067.612764375575,san antonio,4515.1060070671365,51111,tx,78240,29.5269768,-98.6105703,san antonio-tx
138,7749.936008918618,san antonio,4019.846350832266,31395,tx,78242,29.3542229,-98.6105703,san antonio-tx
139,,san antonio,479.5918367346939,235,tx,78243,29.3786897,-98.5885858,san antonio-tx
140,12459.173293884322,san antonio,3296.5702036441585,30757,tx,78244,29.4747162,-98.3471781,san antonio-tx
141,13137.560598821467,san antonio,1701.1137868753765,56511,tx,78245,29.39781439999999,-98.73710390000001,san antonio-tx
142,19773.206543842523,san antonio,2996.7093235831812,49176,tx,78247,29.5857075,-98.4129396,san antonio-tx
143,38718.971476756116,san antonio,3479.0816326530608,13638,tx,78248,29.592901300000005,-98.52541590000001,san antonio-tx
144,18521.936717983623,san antonio,3361.4401076716017,49951,tx,78249,29.5676137,-98.6050736,san antonio-tx
145,17173.476130630384,san antonio,5713.111342351717,54903,tx,78250,29.500374400000002,-98.6655592,san antonio-tx
146,16259.740831394764,san antonio,3256.587615283267,49435,tx,78251,29.4651184,-98.6765618,san antonio-tx
147,8124.140531741726,san antonio,213.1868131868132,7372,tx,78252,29.353180699999996,-98.71508309999999,san antonio-tx
148,19896.90905643465,san antonio,534.1005339716443,29007,tx,78253,29.473315799999998,-98.81422640000001,san antonio-tx
149,18523.81292812995,san antonio,1656.2084257206207,44817,tx,78254,29.533049300000002,-98.7811645,san antonio-tx
150,26503.552558655094,san antonio,591.2616056799562,10826,tx,78255,29.6614395,-98.6655592,san antonio-tx
151,26961.64099197666,san antonio,788.8377445339471,6855,tx,78256,29.6183126,-98.62156490000001,san antonio-tx
152,61251.88582278482,san antonio,101.4902363823227,3950,tx,78257,29.661068800000002,-98.5830907,san antonio-tx
153,33952.006480067015,san antonio,2557.403906742281,40586,tx,78258,29.6451457,-98.4732718,san antonio-tx
154,25675.54236540159,san antonio,1645.60639070443,22660,tx,78259,29.6249386,-98.4293891,san antonio-tx
155,27300.36395105458,san antonio,1121.1191335740073,24844,tx,78260,29.689743300000004,-98.4952228,san antonio-tx
156,27191.77836157774,san antonio,452.3937060595915,13513,tx,78261,29.6953546,-98.4074573,san antonio-tx
157,17516.559811684143,san antonio,127.53820960698691,4673,tx,78263,29.355423699999996,-98.3197946,san antonio-tx
158,9779.671772428885,san antonio,187.01121551985452,12339,tx,78264,29.170644899999996,-98.5062007,san antonio-tx
159,33135.36165265605,san antonio,148.7363660548018,5591,tx,78266,29.6318718,-98.3197946,san antonio-tx
160,12925.67870139609,seguin,127.87601883972135,45341,tx,78155,29.5068941,-97.91570990000001,seguin-tx
161,5646.965498357065,waco,1601.7543859649124,1826,tx,76701,31.5517255,-97.1386299,waco-tx
162,5928.2696390658175,waco,1548.742746615087,8007,tx,76704,31.572649699999996,-97.1197867,waco-tx
163,10374.855462184874,waco,255.07436570428695,29155,tx,76705,31.5923712,-97.07135720000001,waco-tx
164,8855.324575182065,waco,493.6557169039898,35015,tx,76706,31.456042,-97.07135720000001,waco-tx
165,7778.506258609331,waco,5121.779141104295,16697,tx,76707,31.556198900000002,-97.1601715,waco-tx
166,12774.52345154437,waco,525.9131929522991,24476,tx,76708,31.6185967,-97.2113605,waco-tx
167,14803.586617297009,waco,2385.4889589905365,22686,tx,76710,31.534357899999996,-97.1951913,waco-tx
168,9089.425569564257,waco,2283.333333333333,9042,tx,76711,31.5140575,-97.1520926,waco-tx
169,,waco,62066.66666666668,1862,tx,76798,31.547022100000003,-97.1243287,waco-tx
170,20140.446240085872,agawam,1465.8216783216785,16769,ma,01001,42.0636956,-72.6269437,agawam-ma
275,13792.63544438531,burlington,4760.97972972973,28185,vt,05401,44.475844200000004,-73.212121,burlington-vt
276,18688.98329048843,burlington,2396.6824644549765,10114,vt,05408,44.5022196,-73.260097,burlington-vt
